id,zona,tracker,fila,tipo,strings,articulada,art_plano,x,y_sur,y_norte,z_sur,z_norte,pend_long,pend_long_trk,s_oeste,s_este,azi_oeste,azi_este,mag_oeste,mag_este,resid_oeste,resid_este,vec_oeste,vec_este,herm_oeste,herm_este,tcu_s_oeste,tcu_az_oeste,tcu_mag_oeste,tcu_s_este,tcu_az_este,tcu_mag_este,tcu_vec_oeste,tcu_vec_este,tcu_herm_oeste,tcu_herm_este,pend_proy,d_pend,estado,sector,origen
PD-335-0,PD,335,0,2TTx56,4,NO,NO,658355.341,4331369.828,4331444.456,755.185,753.712,-1.974,-2.008,0.965,-1.524,25.7,37.2,2.228,2.521,0.052,0.14,sí,no,,,2.171,47.2,2.957,-1.96,44.3,2.806,PD-335-0 (hermana),PD-347-0,SI,NO,-2.041,0.067,ok,,medido
PD-335-1,PD,335,1,2TTx56,4,NO,NO,658361.329,4331369.746,4331444.391,755.082,753.558,-2.042,-2.008,1.451,-1.483,35.9,36.5,2.477,2.496,0.043,0.151,sí,no,,,2.171,47.2,2.957,-1.96,44.3,2.806,PD-335-0 (hermana),PD-347-0,SI,NO,-2.135,0.093,ok,,medido
PD-336-0,PD,336,0,2TTx56,4,NO,NO,658371.116,4330700.643,4330775.247,777.719,775.849,-2.507,-2.393,0.706,-0.805,16.4,18.6,2.495,2.525,0.12,0.057,no,sí,,,1.699,35.4,2.935,0.15,356.4,2.398,PD-321-1,PD-336-1 (hermana),NO,SI,-2.258,-0.249,ok,,medido
PD-336-1,PD,336,1,2TTx56,4,NO,NO,658377.103,4330700.567,4330775.193,777.645,775.944,-2.279,-2.393,0.652,-1.174,15.2,26.1,2.48,2.665,0.079,0.018,no,sí,,,1.699,35.4,2.935,0.15,356.4,2.398,PD-321-1,PD-336-1 (hermana),NO,SI,-2.141,-0.138,ok,,medido
PD-337-0,PD,337,0,2TTx56,4,NO,NO,658371.077,4330775.567,4330850.206,775.854,773.852,-2.682,-2.775,0.903,-1.059,18.0,20.9,2.918,2.97,0.108,0.065,sí,no,,,2.72,44.4,3.886,-0.395,8.1,2.803,PD-322-1,PD-337-1 (hermana),NO,SI,-2.366,-0.316,ok,,medido
PD-337-1,PD,337,1,2TTx56,4,NO,NO,658377.084,4330775.588,4330850.204,775.899,773.759,-2.868,-2.775,0.831,-0.772,16.7,15.5,2.897,2.881,0.086,0.094,sí,no,,,2.72,44.4,3.886,-0.395,8.1,2.803,PD-322-1,PD-337-1 (hermana),NO,SI,-2.608,-0.26,ok,,medido
PD-338-0,PD,338,0,2TTx56,4,NO,NO,658342.192,4332266.435,4332341.068,735.509,732.912,-3.48,-3.162,-0.144,-0.725,357.4,12.9,3.165,3.244,0.077,0.019,no,sí,,,1.139,19.8,3.361,-0.002,0.0,3.162,PD-338-0 (hermana),PD-350-0,SI,NO,-2.947,-0.533,atencion,,medido
PD-338-1,PD,338,1,2TTx56,4,NO,NO,658348.201,4332266.373,4332341.035,735.205,733.082,-2.843,-3.162,0.505,-0.445,9.1,8.0,3.202,3.193,0.081,0.027,no,sí,,,1.139,19.8,3.361,-0.002,0.0,3.162,PD-338-0 (hermana),PD-350-0,SI,NO,-2.566,-0.277,ok,,medido
PD-339-0,PD,339,0,2TTx42,3,NO,NO,658371.154,4330874.062,4330930.237,773.171,771.705,-2.61,-2.524,0.961,-0.698,20.8,15.5,2.701,2.619,0.041,0.056,no,no,,,1.244,26.2,2.814,-0.141,3.2,2.528,PD-325-1,PD-352-0,NO,NO,-2.373,-0.237,ok,,medido
PD-339-1,PD,339,1,2TTx42,3,NO,NO,658377.09,4330874.055,4330930.23,773.108,771.738,-2.439,-2.524,0.75,-0.856,16.5,18.7,2.633,2.665,0.042,0.043,no,no,,,1.244,26.2,2.814,-0.141,3.2,2.528,PD-325-1,PD-352-0,NO,NO,-2.329,-0.11,ok,,medido
PD-34-0,PD,34,0,2TTx42,3,NO,NO,658020.988,4330520.39,4330576.577,783.211,782.368,-1.5,-1.355,0.432,-1.055,17.7,37.9,1.422,1.717,0.028,0.0,no,no,,,1.055,37.9,1.718,-1.055,37.9,1.718,PD-34-0 (hermana),PD-34-1 (hermana),SI,SI,-1.614,0.114,ok,,medido
PD-34-1,PD,34,1,2TTx42,3,NO,NO,658026.981,4330520.332,4330576.525,783.067,782.387,-1.21,-1.355,0.619,,24.5,,1.49,,0.029,,no,no,,,1.055,37.9,1.718,-1.055,37.9,1.718,PD-34-0 (hermana),PD-34-1 (hermana),SI,SI,-1.427,0.217,ok,,medido
