1,200962.096,8162440.445,1568.593,,,,,,,,,
2,200962.131,8162403.739,1568.394,,,,,,,,,
3,200962.124,8162402.715,1568.421,,,,,,,,,
4,200962.184,8162366.036,1569.653,,,,,,,,,
5,200962.13,8162365.227,1569.237,,,,,,,,,
6,200962.113,8162328.548,1568.59,,,,,,,,,
7,200962.114,8162327.538,1568.605,,,,,,,,,
8,200962.133,8162290.823,1569.329,,,,,,,,,
9,200955.957,8162290.751,1569.189,,,,,,,,,
10,200949.724,8162290.891,1568.9,,,,,,,,,
11,200955.927,8162328.259,1568.403,,,,,,,,,
12,200955.923,8162327.454,1568.404,,,,,,,,,
13,200949.69,8162327.599,1568.388,,,,,,,,,   
14,200949.689,8162328.572,1568.385,,,,,,,,,
15,200955.971,8162365.865,1569.467,,,,,,,,,
16,200955.94,8162365.164,1569.104,,,,,,,,,
17,200949.71,8162365.298,1569.024,,,,,,,,,
18,200949.714,8162366.019,1569.258,,,,,,,,,
19,200955.934,8162402.537,1568.334,,,,,,,,,
20,200955.937,8162403.364,1568.326,,,,,,,,,
21,200949.761,8162403.693,1568.329,,,,,,,,,
22,200949.752,8162402.755,1568.351,,,,,,,,,
23,200955.905,8162440.285,1568.489,,,,,,,,,
24,200949.679,8162440.44,1568.705,,,,,,,,,
25,200949.632,8162441.156,1568.704,,,,,,,,,
26,200949.685,8162478.91,1568.292,,,,,,,,,
27,200949.683,8162477.847,1568.305,,,,,,,,,
28,200949.68,8162515.569,1567.165,,,,,,,,,
29,200943.478,8162515.408,1567.14,,,,,,,,,
30,200937.345,8162515.539,1566.884,,,,,,,,,
31,200937.302,8162478.834,1567.804,,,,,,,,,
32,200937.317,8162477.812,1567.816,,,,,,,,,
33,200943.508,8162477.675,1568.131,,,,,,,,,
34,200943.516,8162478.524,1568.115,,,,,,,,,
35,200937.291,8162441.12,1568.03,,,,,,,,,
36,200943.52,8162440.991,1568.107,,,,,,,,,
37,200943.524,8162440.344,1568.016,,,,,,,,,
38,200937.323,8162403.71,1568.01,,,,,,,,,
39,200937.284,8162402.812,1568.028,,,,,,,,,
40,200943.533,8162402.703,1568.189,,,,,,,,,
41,200943.503,8162403.36,1567.826,,,,,,,,,
42,200943.518,8162365.928,1569.049,,,,,,,,,
43,200943.515,8162365.149,1568.589,,,,,,,,,
44,200937.353,8162366.048,1568.869,,,,,,,,,
45,200937.314,8162365.349,1568.477,,,,,,,,,
46,200943.491,8162328.077,1568.09,,,,,,,,,
47,200943.486,8162327.815,1568.08,,,,,,,,,
48,200937.3,8162328.283,1567.869,,,,,,,,,
49,200937.297,8162328.013,1567.864,,,,,,,,,
50,200943.532,8162290.721,1568.879,,,,,,,,,
51,200937.328,8162290.949,1568.848,,,,,,,,,
52,200931.183,8162290.769,1568.579,,,,,,,,,
53,200924.97,8162290.905,1568.238,,,,,,,,,
54,200931.085,8162327.538,1567.833,,,,,,,,,
55,200931.096,8162328.203,1567.811,,,,,,,,,
56,200924.92,8162327.631,1567.59,,,,,,,,,
